7.8145,1.2756,-8.704,-8.8548,16.619,1.2496,5.1907,-7.4415,5.6547,-6.9076,14.78,-0.9148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.7594,-3.4788,-8.434,-10.568,17.601,-1.425,2.8946,6.1237,10.473,-7.5624,1.8612,-16.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.203,-1.3851,-7.7829,-17.032,8.2629,0.31709,14.094,15.161,13.017,-6.6228,16.625,-12.62,10.079,-11.639,3.803,-17.977,-9.824,3.7581,20.611,16.329,-18.054,13.148,7.8614,-27.952,-1.0745,-2.7093,4.328,5.4534,-0.60418,-5.5735,-0.11199,-5.5091,-8.8195,-3.1716,0.98457,-4.7793
13.147,0.90415,-7.0557,-16.22,9.6851,-2.0635,5.4069,1.7503,6.9789,1.73,20.101,-9.5449,2.1653,-17.485,2.1062,-7.3332,-7.1513,-9.1247,12.83,-10.256,-31.135,5.0317,15.75,-8.9027,-3.3197,3.0499,8.7844,11.995,-1.9535,-8.1436,-7.953,-3.075,1.2019,-8.7766,0.92946,-5.4252
9.6599,-6.7352,-7.4916,-15.017,15.665,3.4479,14.24,2.9097,-1.6254,-4.9801,9.5904,-18.498,-6.4549,-4.8038,20.587,30.934,0.55472,-23.305,-6.9748,-22.417,-28.53,-18.374,-2.9521,-19.445,-5.0995,7.8971,5.3756,12.874,-1.973,-12.4,-21.406,-3.0647,12.507,-9.4493,2.8278,1.8485
8.6137,-9.5464,-7.5265,-15.242,10.325,-7.5527,9.2367,7.1213,2.2272,-5.8679,13.253,-18.272,-8.3317,11.832,35.53,35.519,-14.957,-27.187,-25.972,3.9983,11.248,-28.122,10.054,-31.38,-3.8739,3.5757,-4.8419,3.2737,0.58596,-5.3735,-16.742,0.029685,16.183,-3.0221,-2.0862,0.50386
10.243,1.4383,2.746,-2.054,8.2206,-8.5908,8.692,1.2673,1.1281,-12.011,18.573,-17.979,-10.17,13.188,13.969,24.966,-15.786,-49.21,-67.019,-6.1219,23.291,-17.522,24.848,-7.4712,-2.4461,-6.6735,-18.536,-11.038,7.6165,8.7808,2.7942,3.339,15.378,5.4211,-8.4217,5.8105
8.6902,2.7334,5.5904,-4.9421,5.9286,-9.6375,-4.8052,4.5707,11.226,-8.8158,20.637,-25.494,-15.346,-8.6024,-18.794,12.019,3.949,-23.04,-40.858,-18.256,23.871,-10.505,-8.581,-12.37,0.47811,-9.6882,-20.478,-13.799,16.075,22.817,25.342,4.77,4.3804,6.1952,-12.195,11.543
4.5365,-6.2812,-7.0655,-7.6838,9.9696,-20.115,-12.249,1.1241,5.5207,-12.267,18.323,-18.622,-15.178,-27.954,-44.93,-12.509,29.184,18.525,14.439,5.4046,42.05,-0.076998,-35.743,0.103,3.9361,-3.1601,-6.7841,-12.393,8.5754,29.659,39.4,14.229,-3.1644,3.774,-4.9752,7.4045
3.7936,-9.9879,-12.018,-6.4172,11.425,-13.311,-0.722,-1.9349,11.966,-10.992,9.0879,-24.135,-3.4373,-16.038,-37.412,-14.738,42.935,53.033,60.007,22.085,23.77,-5.8684,-20.626,22.55,4.3294,2.7443,5.6117,-7.5421,-7.8565,12.104,22.938,13.104,-11.628,1.1884,11.019,5.4038
5.102,-6.178,-10.915,-7.5708,20.065,2.5085,13.87,7.2224,21.783,-10.961,6.4758,-18.607,3.5557,1.1053,-10.643,-23.619,7.5978,61.048,79.548,44.852,7.5192,-0.96974,5.9945,12.091,3.6162,5.0226,13.363,6.4568,-15.907,-9.853,-9.8808,-11.015,-16.197,4.4357,17.369,0.71993
6.6888,-5.3371,-11.191,-12.367,22.348,5.5675,12.139,12.564,14.98,-12.403,16.248,-14.227,-3.0663,-9.4107,-7.8797,-20.136,-24.54,16.216,41.277,27.539,-17.005,-4.1166,25.645,8.6546,2.7885,3.8058,11.483,15.894,-12.153,-22.126,-28.715,-28.62,-6.5066,9.5889,6.2143,-4.2899
