31.514,-23.789,-28.492,-34.294,0.19206,-16.092,-9.2231,-14.643,-10.656,-27.587,-6.7754,-4.9942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.522,-19.879,-19.887,-31.865,0.18448,-16.015,0.54407,-6.215,-15.696,-25.096,-12.878,-8.1741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.705,-17.917,-13.698,-30.472,-4.4832,-21.803,2.9046,3.3396,4.6562,-7.1437,-8.8676,-18.157,-12.402,11.608,41.127,15.721,-12.703,-5.042,11.349,-2.455,41.555,43.659,7.7867,-24.245,2.744,-1.4391,4.7155,5.6162,0.68039,4.4294,-4.5314,-8.1605,0.8061,-0.19503,0.41049,6.177
24.303,-15.772,-9.1329,-25.407,0.31793,-22.89,-6.776,-7.7567,4.7932,-6.7308,-1.7886,-17.196,5.1248,-0.60215,24.72,15.197,-7.7174,13.133,-5.0435,-18.819,28.153,11.217,6.7892,2.6138,3.3761,-1.441,-2.1432,4.4377,2.0921,4.1594,-6.5147,-3.7521,-9.538,-6.7932,-0.69533,9.5005
26.922,-20.039,-13.305,-29.662,-6.2263,-15.175,0.11164,-15.1,-0.12333,-14.94,-8.4269,-12.606,11.158,-6.8944,11.217,20.482,7.2607,15.58,-20.135,-31.393,-10.046,-6.5837,-1.3422,29.578,2.2463,1.6521,-10.721,0.057084,7.856,-0.15579,-6.1158,2.8945,-17.878,-13.861,-2.0356,5.5879
27.475,-19.119,-7.7232,-24.672,-2.8027,-12.762,-0.58118,-6.4045,0.76998,-15.589,-9.704,-9.6427,5.1007,2.046,4.2388,19.808,0.47846,10.486,-16.831,-4.2912,-21.89,-8.8443,1.0878,20.591,-3.5608,4.6981,-8.7433,-2.8836,5.9984,-6.9387,2.9847,11.244,-6.8507,-3.8466,-2.5148,-8.3782
25.697,-19.69,-8.7939,-20.599,0.70744,-19.077,-10.26,-13.033,1.6446,-6.0064,-5.581,-7.1443,-1.1586,18.544,-2.2375,13.701,22.479,-4.4972,-13.336,4.7537,-22.813,-15.617,0.45948,-5.2936,-5.1082,2.7369,-2.8143,-4.886,-0.91929,-10.032,3.8783,13.5,8.3997,2.3422,-2.4265,-14.345
27.465,-14.923,-9.2693,-20.035,-2.9097,-15.696,-10.006,-10.936,-7.0356,-15.62,-2.6677,-9.631,-6.5212,10.169,-12.269,4.1692,14.666,-11.521,6.4806,19.329,0.28302,-3.4996,-6.6855,-21.841,-5.4445,-1.2957,7.7351,-1.067,-2.5168,-5.4121,-4.1142,-0.5808,9.3994,8.2536,1.6652,-1.5788
26.348,-12.864,-13.651,-25.13,5.0665,-15.957,-1.844,-10.458,-7.6269,-22.733,-11.715,-15.258,-8.5723,2.7285,5.3999,3.8717,-4.4293,-23.577,-12.399,24.299,20.866,2.4548,-9.588,-20.932,-4.1202,-3.8774,15.257,4.1356,-5.0993,4.4088,-11.344,-9.0205,2.427,6.1502,6.6922,7.5071
23.89,-17.447,-11.429,-20.321,2.3505,-20.083,-1.5491,1.972,5.5473,-8.9758,-9.9796,-16.506,-18.415,3.4753,39.096,19.388,1.3482,-7.035,-37.87,-16.968,3.2681,23.388,14.438,20.516,-1.0897,-1.7402,12.973,3.5623,0.21511,12.564,-7.0079,-12.746,-7.3496,-1.5047,10.856,6.8186
