25.506,-41.091,-8.6076,16.709,-32.93,-27.366,-4.0126,-4.7841,-9.297,6.4239,19.182,2.7039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.02,-46.053,-11.277,6.2107,-40.779,-26.825,-12.555,-8.3778,-1.2899,-0.91888,15.862,6.0018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24.225,-48.82,-10.315,5.726,-36.751,-22.435,-5.837,5.3171,-7.5436,4.2416,19.468,5.4768,9.3262,6.2025,37.701,2.1305,24.564,56.052,8.1892,52.244,12.419,-12.734,15.406,12.548,4.8857,2.6063,10.93,6.2274,7.0601,4.2635,-6.3985,1.2318,0.90514,-11.702,-1.5388,-5.0169
27.004,-43.213,0.9066,14.965,-25.838,-8.6828,-3.7999,9.2268,-6.5761,4.8262,22.098,2.8966,14.936,12.873,46.955,18.278,29.24,43.746,2.11,47.393,-4.5299,-35.77,15.35,5.0252,4.9048,-0.1064,0.49996,6.0909,2.6862,-9.1084,-8.8312,-15.008,1.0693,-8.7761,-8.1902,-8.5624
28.678,-39.41,4.151,13.397,-28.118,-8.4108,-4.2956,12.536,-0.44431,-2.8158,23.767,10.531,16.961,6.595,31.174,21.998,20.68,-0.55542,-33.047,-17.537,6.7907,-40.623,-15.369,-27.597,3.6781,-2.8048,-12.054,6.4247,-3.4687,-19.115,-5.6433,-25.411,-1.6094,0.077609,-10.628,-6.4861
29.262,-44.321,4.9671,11.514,-30.475,-11.964,-12.271,11.709,-7.1045,-15.275,21.387,5.9875,20.707,-0.72828,5.7635,20.521,15.373,-17.238,-23.538,-40.151,8.1605,-29.936,-25.563,-22.739,3.0452,-0.35732,-11.405,3.4679,-6.5497,-11.361,1.9801,-12.199,0.15736,13.698,1.3818,4.2248
31.576,-44.968,3.2419,18.451,-24.092,-21.072,-18.125,-4.6928,-3.884,-6.0195,12.138,-9.8672,24.831,-1.0209,-1.9755,33.132,14.154,-9.0329,-7.2034,-31.037,-1.9729,-15.263,-17.275,-6.0002,-0.0029058,3.9322,-0.55386,0.676,-12.128,-2.7842,9.3024,10.831,-2.7937,18.545,14.845,13.744
35.908,-40.798,4.243,22.699,-20.165,-10.971,-8.654,-2.2345,-0.77599,-8.54,15.131,1.726,26.227,14.894,6.5049,30.05,-0.24549,-8.8213,-0.91126,-6.8547,0.63868,20.039,23.213,15.351,-5.4708,3.8529,11.23,2.0851,-12.655,-4.4237,4.4713,11.789,-6.4875,16.098,10.651,6.9298
37.77,-41.682,3.5254,24.371,-26.197,-13.424,-9.7057,3.9889,-4.595,-13.815,18.258,9.6613,14.186,18.445,28.034,20.614,-32.152,-18.685,2.1513,19.97,-3.4168,27.116,34.468,22.08,-7.5183,2.1113,13.356,0.65305,-3.7067,-4.6969,3.0186,4.359,-4.9955,7.8134,-3.5084,-3.7873
39.278,-38.518,8.0778,23.579,-29.545,-20.199,-16.936,3.941,-6.4297,-1.3581,29.934,3.8986,-1.3248,8.8034,46.908,37.206,-24.751,-34.531,-5.8589,-6.7096,-23.555,29.363,1.8179,-2.1302,-4.2023,-0.4215,3.9094,-2.9212,5.8166,1.8845,4.4924,-1.5193,0.98678,-6.6819,-16.827,-6.2249
